City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
229,Namanga,KE,-2.5433,36.7905,79.66,48,5,2.86,clear sky
230,Sorland,NO,67.667,12.6934,31.86,48,100,28.41,overcast clouds
231,Aloleng,PH,16.1307,119.7824,80.96,73,25,12.71,scattered clouds
232,Zyryanka,RU,65.75,150.85,-29.07,100,14,2.48,few clouds
233,Vardo,NO,70.3705,31.1107,28.38,93,40,17.27,scattered clouds
234,Asau,RO,46.4333,26.4,48.4,68,65,2.84,broken clouds
235,Coihaique,CL,-45.5752,-72.0662,47.01,71,100,4.61,overcast clouds
236,Broome,US,42.2506,-75.833,23.7,69,0,8.05,clear sky
237,Andijon,UZ,40.7821,72.3442,43.95,61,20,6.91,few clouds
238,Kenai,US,60.5544,-151.2583,31.03,98,100,12.66,mist
239,Coahuayana,MX,18.7333,-103.6833,68.99,72,0,3.36,clear sky
240,Khuzhir,RU,53.1939,107.3397,2.52,89,94,9.35,overcast clouds
241,Camalu,MX,30.85,-116.0667,49.42,66,100,14.0,overcast clouds
242,Fukue,JP,32.6881,128.8419,39.56,60,75,14.97,broken clouds
243,Ponta Do Sol,PT,32.6667,-17.1,62.06,66,17,8.28,few clouds
244,Kyabe,TD,9.4515,18.9449,88.0,9,5,11.21,clear sky
245,Guerrero Negro,MX,27.9769,-114.0611,60.44,69,87,11.36,overcast clouds
246,Whitehorse,CA,60.7161,-135.0538,18.37,93,75,3.44,broken clouds
247,Jiayuguan,CN,39.8167,98.3,32.23,52,100,3.8,overcast clouds
248,Dehui,CN,44.5333,125.7,10.71,74,100,9.51,overcast clouds
249,Palmeira Das Missoes,BR,-27.8994,-53.3136,56.28,65,0,6.15,clear sky
250,Tuatapere,NZ,-46.1333,167.6833,52.56,81,4,2.71,clear sky
251,East London,ZA,-33.0153,27.9116,76.14,88,20,13.8,few clouds
252,Humberto De Campos,BR,-2.5983,-43.4611,73.9,95,100,4.45,overcast clouds
253,Kavali,IN,14.9167,79.9833,82.72,53,100,11.86,overcast clouds
254,Iracoubo,GF,5.4802,-53.2011,75.79,88,100,14.09,overcast clouds
255,Terme,TR,41.2092,36.9739,50.97,53,1,1.81,clear sky
256,Santarem,BR,-2.4431,-54.7083,73.53,100,75,0.0,broken clouds
257,Beringovskiy,RU,63.05,179.3167,-10.39,93,100,16.31,overcast clouds
258,Pevek,RU,69.7008,170.3133,-24.09,100,100,5.21,overcast clouds
259,Baijiantan,CN,45.6333,85.1833,27.52,60,95,6.58,overcast clouds
260,College,US,64.8569,-147.8028,-2.78,75,20,0.0,haze
261,Sycow,PL,51.3081,17.7198,44.38,73,100,16.2,overcast clouds
262,Son La,VN,21.3167,103.9,76.93,57,96,2.39,overcast clouds
263,San Patricio,US,28.017,-97.5169,66.29,88,85,16.75,overcast clouds
264,Mandeville,JM,18.0417,-77.5071,69.85,91,10,5.66,clear sky
265,Isla Mujeres,MX,21.2311,-86.731,75.25,76,44,16.37,scattered clouds
266,Aguas Belas,BR,-9.1114,-37.1231,69.69,79,1,3.6,clear sky
267,Shahpur,IN,16.7,76.8333,87.3,27,2,6.11,clear sky
268,Ganzhou,CN,28.8184,115.4327,50.92,75,100,6.8,overcast clouds
269,Kincardine,GB,56.0667,-3.7167,50.27,85,80,23.22,broken clouds
270,Haukipudas,FI,65.1765,25.3523,24.85,93,99,11.12,light snow
271,Hovd,MN,48.0056,91.6419,11.12,55,10,1.07,clear sky
272,Camana,PE,-16.6228,-72.7111,69.73,85,100,5.03,overcast clouds
273,Hambantota,LK,6.1241,81.1185,89.94,51,20,5.75,few clouds
274,Barabash,RU,43.2,131.4833,15.48,68,100,11.74,overcast clouds
275,Chifeng,CN,42.2683,118.9636,11.5,50,0,13.6,clear sky
276,Alzamay,RU,55.5562,98.6644,8.94,90,100,3.74,light snow
277,Carnarvon,AU,-24.8667,113.6333,98.67,44,55,14.97,broken clouds
278,Cabedelo,BR,-6.9811,-34.8339,75.87,73,61,7.85,broken clouds
279,Bud,US,39.447,-86.1758,51.85,57,100,16.69,overcast clouds
280,Tres Lagoas,BR,-20.7511,-51.6783,72.61,80,6,3.8,clear sky
281,Saint Anthony,US,45.0205,-93.218,28.24,85,0,4.61,mist
282,Utete,TZ,-7.986,38.758,85.62,67,100,1.68,overcast clouds
283,Jos,NG,9.9167,8.9,76.14,13,4,4.81,clear sky
284,Kalawit,PH,8.0667,122.5167,82.58,68,12,13.91,few clouds
285,Santa Rosa Del Sur,CO,7.9644,-74.0544,68.94,77,86,2.51,overcast clouds
286,Araouane,ML,18.9048,-3.5265,62.69,26,100,15.21,overcast clouds
287,Mnogovershinnyy,RU,53.9353,139.9242,2.25,95,100,5.1,overcast clouds
288,Yar-Sale,RU,66.8333,70.8333,-3.87,97,100,11.5,overcast clouds
289,La Ronge,CA,55.1001,-105.2842,-12.75,70,0,13.8,clear sky
290,San Cristobal,VE,7.7669,-72.225,62.92,89,100,0.81,overcast clouds
291,Richards Bay,ZA,-28.783,32.0377,85.59,56,2,14.47,clear sky
292,Morro Bay,US,35.3658,-120.8499,50.14,73,0,1.99,clear sky
293,Coquimbo,CL,-29.9533,-71.3436,60.53,88,0,3.44,clear sky
